id,text,predicted_positions
932,Атеперьподвечеражпяткигорят-,"[1, 7, 10, 16, 17, 22, 27]"
933,Ноженькирезвыевпляскухотят.,"[8, 14, 15, 21]"
934,"Япойдунаулицу,кдевкампойду,","[1, 6, 8, 14, 15, 21]"
935,Голосомзвонкимяимподпою.,"[7, 14, 15, 17, 20]"
936,"Матушка,слышишь,соловушекпоет,","[8, 16, 18, 25]"
937,"Атам,подгорою,пляскаидет-","[1, 5, 8, 14, 20, 24]"
938,"Девкиголосистыезвонкопоют,","[5, 15, 21]"
939,Мнедамолоденькойспатьнедают.,"[3, 5, 16, 21, 23]"
940,"Теплоеместо,ноулицыждут","[6, 12, 14, 19]"
941,Отпечатковнашихног.,"[10, 15]"
942,Звезднаяпыль-насапогах.,"[8, 12, 13, 15]"
943,"Мягкоекресло,клетчатыйплед,","[6, 13, 22]"
944,Ненажатыйвовремякурок.,"[2, 9, 16]"
945,Солнечныйдень-вослепительныхснах.,"[9, 13, 14, 15, 28]"
946,"Группакрови-нарукаве,","[6, 11, 12, 14]"
947,"Мойпорядковыйномер-нарукаве,","[3, 13, 18, 19, 21]"
948,"Пожелаймнеудачивбою,пожелаймне:","[7, 10, 15, 16, 20, 27]"
949,"Неостатьсявэтойтраве,","[2, 10, 11, 15]"
950,Неостатьсявэтойтраве.,"[2, 10, 11, 15]"
951,"Пожелаймнеудачи,пожелаймнеудачи!","[7, 10, 16, 23, 26]"
952,"Иестьчемплатить,ноянехочу","[1, 5, 8, 16, 19, 21]"
953,Победылюбойценой.,"[6, 11]"
954,Яникомунехочуставитьногунагрудь.,"[1, 7, 9, 13, 20, 24, 26]"
955,"Яхотелбыостатьсястобой,","[1, 6, 8, 16, 17]"
956,"Простоостатьсястобой,","[6, 14, 15]"
957,Новысокаявнебезвездазоветменявпуть.,"[2, 9, 10, 14, 20, 25, 30]"
958,"Ночькоротка,цельдалека,","[4, 12, 16]"
959,"Ночьютакчастохочетсяпить,","[5, 8, 13, 20]"
960,"Тывыходишьнакухню,","[2, 10, 12]"
961,"Новодаздесьгорька,",[]
962,"Тынеможешьздесьспать,","[4, 10, 15]"
963,Тынехочешьздесьжить.,"[4, 10, 15]"
964,"Доброеутро,последнийгерой!","[6, 11, 20]"
965,"Доброеутротебеитаким,какты,","[6, 10, 14, 15, 21, 24]"
966,"Доброеутро,последнийгерой.","[6, 11, 20]"
967,"Здравствуй,последнийгерой!","[11, 20]"
968,"Тыхотелбытьодин,этобыстропрошло,","[2, 7, 11, 16, 19, 25]"
969,"Тыхотелбытьодин,нонесмогбытьодин,","[2, 7, 11, 16, 18, 20, 24, 28]"
970,"Твояношалегка,нонемеетрука,","[4, 8, 14, 16, 22]"
971,Итывстречаешьрассветзаигройвдурака.,"[1, 3, 13, 20, 22, 27, 28]"
972,"Утромтыстремишьсяскорееуйти,","[5, 7, 17, 23]"
973,"Телефонныйзвонок,каккоманда'Вперед!'","[10, 17, 20, 35]"
974,"Тыуходишьтуда,куданехочешьидти,","[2, 9, 14, 18, 20, 26]"
975,"Тыуходишьтуда,нотебятамниктонеждет!","[2, 9, 14, 16, 20, 23, 28, 30]"
976,Яидупоулицевзеленомпиджаке.,"[1, 4, 6, 11, 12, 19]"
977,Мненравятсямоиботинки.,"[3, 11, 14]"
978,Аещекрасивыйгалстукуменя.,"[1, 4, 12, 20]"
979,"Ягладилбрюкидвачаса,","[1, 7, 12, 15]"
980,Впарикмахерскойсиделсутра.,"[1, 15, 20]"
981,"Ивотидуяпоулице,одиня.","[1, 4, 7, 8, 10, 16, 20]"
982,Поулицеидуя.,"[2, 7, 10]"
983,Поулицеодин.,"[2, 7]"
984,Умоегоприятеляестьновыепластинки.,"[1, 6, 14, 18, 23]"
985,Иязайдувкафеивыпьючашкукофе.,"[1, 2, 7, 8, 12, 13, 18, 23]"
986,Апотомпойдукнему.,"[1, 6, 11, 12]"
987,ИвзеркалахвитринятакпохожнаБодиХоли.,"[1, 2, 10]"
988,Папаскородастсвоюмашинупокататьсямне.,"[4, 9, 13, 17, 23, 33]"
989,Идуя.,[3]
990,Поулицеодиня.,"[2, 7, 11]"
991,Идуяпоулицеодин.,"[3, 4, 6, 11]"
992,Весна-постоянныйнасморк.,"[5, 6, 16]"
993,Весна-солнцесветитопять.,"[5, 6, 12, 18]"
994,Ияпромочилноги.,"[1, 2, 10]"
995,Весна-ияопятьидугулять.,"[5, 6, 7, 8, 13, 16]"
996,Весна-янемогуусидетьдома.,"[5, 6, 9, 13, 20]"
997,Весна-ялюблювесну.,"[5, 6, 7, 12]"
998,Очемпоютвмоемдворекошки?,"[1, 4, 8, 9, 13, 18]"
999,"Нет-нет-нет-нет,",[]
1000,Янеусну.,[3]
1001,Весна-яуженегреюпио.,"[5, 6, 7, 10, 12, 16, 18]"
1002,Весна-скоровырастеттрава.,"[5, 6, 11, 19]"
1003,"Весна-выпосмотрите,каккрасиво.","[5, 6, 8, 19, 22]"
1004,Весна-гдемояголова?,"[5, 6, 9, 12]"
